Name,Address,Phone number 1,Phone number 2,Hours,Serves,Specific Information
Asian Task Force Against Domestic Violence (Boston),"PO Box 120108, Boston, MA 02112",617-338-2350,Multilingual Hotline: 617-338-2355,,Asian Families,"The mission of the Asian Task Force Against Domestic Violence is to eliminate family violence and to strengthen Asian families and communities. In 1994, the Task Force opened the first battered women's shelter in New England specifically for Asian women. Multilingual support groups available"
Casa Myrna Vazquez (Boston),"PO Box 180019, Boston, MA 02118
",617-521-0100,24-Hour Emergency Hotlin: 877-785-2020,,Women and children,"A community-based multicultural organization dedicated to the eradication of domestic violence. Casa Myrna Vazquez offers direct services to women & children, including emergency and transitional shelters, welfare, legal, mental health, and child advocacy. "
"DOVE, Inc - Domestic Violence Ended","PO Box 690267, Quincy, MA 02269",617-471-1234,"24-Hour Crisis Hotline: 617-471-1234, 888-314-3683",,Families,"DOVE is committed to partnering with diverse communities, families and individuals impacted by domestic violence. They promote hope, healing, safety, and social change by providing a broad range of preventive and responsive services."
GLBTQ Domestic Violence Project (Cambridge),"955 Massachusetts Avenue, PMB 131, Cambridge, MA 02139",617-354-6056,24-Hour Emergency Hotline: 1-800-832-1901,,"Gay, Lesbian, Bisexual, Transgender and Queer persons.","Offers shelter, guidance, and resources to allow gay, bisexual, and transgender and queer persons in crisis to remove themselves from violent situations and relationships."
Horizon’s Housing Program of the Crittenton Women’s Union (Mattapan),"PO Box 382,  Mattapan, MA 02126
",617-296-2492,,,,"Provides Housing Authority referrals, daycare for children, transitional living/work programs and advocates for emotional and practical support"
"Jane Doe, Inc.",,617-248-0922,,,,"As the statewide coalition of more than sixty community based sexual assault and domestic violence programs, Jane Doe, Inc. advocates for the safety, dignity and liberty of survivors."
Renewal House (Boston),"10 Putnam Street, Roxbury MA 02119",617-277-4194,24-hour Emergency Hotline: 617-566-6881,,Women and children,"Provides temporary and emergency shelter for battered women and their children, counseling, support groups, welfare, court, housing and child advocacy. MBTA accessible"
"Respond, Inc. (Somerville)","PO Box 555, Somerville, MA 02143
",24-Hour Hotline: 617-623-5900,,,Women and children,"A community-based nonprofit organization providing direct services to battered women and their children. Services include emergency shelter, counseling programs, support groups, legal, welfare, and housing-advocacy. Haitian Creole, Spanish, Portuguese, and French-speaking staff members available."
The Center for Violence Prevention and Recovery (Boston),"330 Brookline Avenue, Boston, MA",617-667-8141,Beth Israel Deaconess Medical Center Emergency Department: 617-754-2400,,Families,"Hospital based program offering services to all. Programs include: Safe Transition: Domestic Violence Intervention Program, Rape Crisis Intervention Program, Community Violence Intervention, Advocacy and Support Project"
Elizabeth Stone House (Jamaica Plain),"8 Notre Dame Street, Boston, MA 02119",617-427-9801,Transitional Housing Program: 617-427-9801,,Women only,"Run by women, for women, The Elizabeth Stone House provides residential and community-based services for women and their children. MBTA accessible"
